URL,Name,Variants,Latin
https://viaf.org/viaf/71234739/,"Isidore, of Charax","Isidorus, Characenus, ايزيدور, Isidore, of Charax, Isidorus Characenus, činný 1. století př. Kr.-1. století po Kr., ايسيدور، خاراكسى",0
https://viaf.org/viaf/71367291/,"Cassius Felix, fl. 447","Cassius, Felix, Cassius Felix, 04..?-04.., médecin, Cassius Felix, fl. 447, Cassius Felix, active 447, Cassius Felix (około 400-około 500)., Cassius Felix, sec. V, Cassius Felix, 400-499, Cassius Felix, 400-t, Cassius Felix, 5e eeuw, Cassius Felix, uzpl. 447, Cassius Felix, činný 447",0
https://viaf.org/viaf/71399875/,"Simplicius, of Cilicia","Simplicius, 0490?-0560?, Simplicius, fl. 5---, Simplicius, de Cilicie, Simplicius, Simplicius (około 490-około 560)., Simplicius Atheniensis, sec. VI, Simplicius, 500-talet e.Kr., Simplici, de Cilícia, actiu segle VI, Σιμπλίκιος ὁ Κίλιξ, Simplicius, of Cilicia, Symplicjusz z Cylicji (ok. 490-560), Simplicio, Σιμπλίκιος apie 490-apie 560, Simplicius ок.490-560, Simplikios, činný 6. století",0
https://viaf.org/viaf/71405213,"Nilus, of Ancyra, Saint, -approximately 430","Nil d'Ancyre, 03..-043.?, saint, Nilus, of Ancyra, Saint, -approximately 430, Nilus Ancyranus -430, Nilus, Nil z Ancyry (święty; -około 430)., Nilus, s., m. 430, Nilus, Ancyranus, -ca. 430, Nil d'Ancyre saint 03..-043. ?, Nilus, Ancyranus, saint, نيلوس سيناء قديس من مصر الرومانيه, Nil, d'Ancira, sant, -aproximadament 430, Nilo del Sinaí, Santo, Nil z Ancyry (święty ; ?-ok. 430), Nilus Ancyranus helgen, Nilus, of Ancyra, Saint, d. ca. 430, ܢܝܠܘܣ ܕܝܪܝܐ fl. 4th/5th cent., Nil, d'Ancyre, saint, -environ 430, Nilus, Ancyranus, Nilus, svatý, -asi 430, Nil, Saint",0
https://viaf.org/viaf/71427145/,"Posidippus, of Pella, ca 310 B.C.","Posidippus, of Pella, approximately 310 B.C.-approximately 240 B.C., Ποσείδιππος, Posidippus (około 310-około 240 p.n.e.)., Posidippus ca 310 a. C.-ca 240 a. C., Posidippus Pellaeus ca. v3. Jh., Posidippus (ok. 310 p.n.e.-ok. 240 p.n.e.), Posidippus, ca. 310 v. Chr.-, Posidippus, Pellensis, Posidipo de Pela",0
https://viaf.org/viaf/7146217703009140660/,"Athenaeus, of Naucratis",Athenaeus 2./3. årh.,0
https://viaf.org/viaf/71504671,"Eustathius, of Antioch, Saint, -approximately 337","Eustathe d'Antioche, 02..?-0337?, Eustathius ...-ca337 Antiochenus, أوسطاثاوس, Eustathius Antiochenus -337, Eustathius, of Antioch, Saint, -approximately 337, Eustathius, Antiochenus, -ca. 337, Eustathius Antiochenus ( -około 337)., Eustathius, archevêque d'Antioche, saint, Eustachy z Antiochii (święty ; -ok. 337), Eustathius Antiochenus helgen, biskop av Antiokia, Eustathios av Antiochia, d. ca 337, Eustathios, z Antiochie, svatý, -asi 337",0
https://viaf.org/viaf/71758970/,"Draco, Atheniensis, v2. Jh","Draco Atheniensis v2. Jh., Dracó de Còrcira historiador grec",0
https://viaf.org/viaf/71783264/,Amometus Historicus 4./3. Jh. v. Chr,"Amometus Historicus 4./3. Jh. v. Chr, Amòmet, Amometus Historicus v4./3. Jh.",0
https://viaf.org/viaf/71783293/,"Aristippus, Historicus, ","Aristippus Historicus ca. v2. Jh., Arístip historiador grec",0
https://viaf.org/viaf/71783319/,"Aristonymus, Gnomologus, um 200 n. Chr.","Aristonymos, Aristonymus Gnomologus 200, Aristonymus",0
https://viaf.org/viaf/71783342/,"Athenaeus Historicus v1. Jh.
                           ","Athenaeus Historicus v1. Jh., Athenaios",0
https://viaf.org/viaf/71783388/,"Callicter, Epigrammaticus, 1./2. Jh. n. Chr.","Κιλλάκτωρ, Callicter Epigrammaticus 1./2. Jh. n. Chr, Callicter 1./2. Jh. n. Chr Epigrammaticus, Callicter Epigrammaticus 1./2. Jh.",0
https://viaf.org/viaf/71783422/,"Cephisodorus, Thebanus, 4. Jh. v. Chr","Cephisodorus Thebanus 4. Jh. v. Chr, Cephisodorus Thebanus v4. Jh., Kephisodoros von Theben",0
https://viaf.org/viaf/71783433/,"Chaerion, Comicus, Person der Antike","Chaerion Comicus, Chaerion Comicus Person der Antike, Chairion",0
https://viaf.org/viaf/71783446/,"Charicles, Historicus, ca. 3.Jh.n.Chr","Charikles, Charicles Historicus ca. 3. Jh., Charicles Historicus ca. 3.Jh.n.Chr, Charikles Historiker, Charicles ca. 3.Jh.n.Chr Historicus",0
https://viaf.org/viaf/71783582,Damon Atheniensis v5. Jh.,Damon of Athens,0
https://viaf.org/viaf/71783595/,"Diodorus, Sinopensis,  3. Jh. v. Chr.","Diodorus Sinopensis 3. Jh. v. Chr, Diodor de Sinope, Diodorus Sinopensis v3. Jh.",0
https://viaf.org/viaf/71783613/,Dionysodorus Troezenius 2. Jh. v. Chr,"Dionysodorus Troezenius 2. Jh. v. Chr, Dionysodorus Troezenius v2. Jh., Dionisodor de Trezè gramàtic de l'antiga Grècia",0
https://viaf.org/viaf/71783632/,Diphilus Iambographus 5. Jh. v. Chr,"Diphilus Iambographus 5. Jh. v. Chr, Dífil poeta, Diphilus Iambographus v5. Jh.",0
https://viaf.org/viaf/71783728/,"Hermon, Delius, 4. Jh. v. Chr./2. Jh. n. Chr.","Hermonax von Delos, Hermon Delius v4. Jh. / 2. Jh., Hermonax, Delius",0
https://viaf.org/viaf/71783737/,"Hestiaeus, Historicus, ca. 1.Jh.n.Chr","Гэстыэй, Hestiaeus Historicus ca. 1. Jh.",0
https://viaf.org/viaf/71783744,"Idaeus, Himeraeus","Idaios‏ ‎von Himera‏ vorsokratischer Naturphilosoph, Idaeus Himeraeus v5. Jh.",0
https://viaf.org/viaf/71783825/,"Nicomedes Acanthius, v4. Jh","Nikomedes von Akanthos, Nicomedes Acanthius v4. Jh.",0
https://viaf.org/viaf/71783856/,"Pherenicus, Heracleota,q ca. 1.Jh.v.Chr./1.Jh.n.Chr.",Pherenicus Heracleota ca. 1. Jh. v. Chr.-1. Jh.,0
